segment,locality,current_price_raw,price_1Y,price_3Y,price_5Y,rating,lat,lon
Affordable,Wardha Road,"₹2,300/ sq.ft",4800.0,2300.0,4650.0,4.3,21.120169836598198,79.0729125899742
Affordable,Mihan,"₹2,400/ sq.ft",5000.0,2400.0,,3.8,21.059992,79.030981
Affordable,Buti Bori,"₹1,550/ sq.ft",2150.0,1550.0,,3.9,20.93362,79.00234
Affordable,Kamptee,"₹1,700/ sq.ft",,1700.0,,3.8,21.21708,79.20277
Affordable,Godhani,"₹2,500/ sq.ft",,2500.0,,,21.22073099350805,79.06048170001992
Affordable,Jamtha,"₹2,300/ sq.ft",3350.0,2300.0,,,21.00712,79.04756
Affordable,Godhani Road,"₹2,500/ sq.ft",,2500.0,,3.5,21.207939,79.065379
Mid-Segment,Mankapur,"₹4,550/ sq.ft",4550.0,,,4.0,21.18558,79.08046
Mid-Segment,Umred Road,"₹4,200/ sq.ft",4200.0,1900.0,,4.0,21.0352,79.17125
Mid-Segment,Dighori,"₹4,200/ sq.ft",4200.0,2350.0,,3.9,21.11608,79.14074
Mid-Segment,Besa,"₹4,200/ sq.ft",4200.0,3650.0,,4.2,21.09083,79.09134
Mid-Segment,Gorewada,"₹4,100/ sq.ft",4100.0,2150.0,,3.5,21.189414,79.060571
Mid-Segment,Dabha,"₹3,900/ sq.ft",3900.0,3300.0,,3.8,21.168826062347147,79.01308926138796
Mid-Segment,Beltarodi,"₹4,150/ sq.ft",4150.0,3800.0,,3.8,21.075268,79.076984
Mid-Segment,New Manish Nagar,"₹4,500/ sq.ft",4500.0,6000.0,,4.0,21.085819,79.06716
Mid-Segment,Manewada,"₹4,200/ sq.ft",4200.0,4350.0,,4.2,21.09625,79.10687
Mid-Segment,"Somalwada, Wardha Road","₹4,700/ sq.ft",4700.0,6500.0,4650.0,4.3,21.09267,79.07439
Mid-Segment,Chinchbhavan,"₹4,250/ sq.ft",4250.0,3150.0,,,21.067461,79.058708
Mid-Segment,Zingabai Takli,"₹3,650/ sq.ft",3650.0,4000.0,,4.1,21.19525,79.06874
Mid-Segment,Katol Road,"₹4,600/ sq.ft",4600.0,1650.0,,4.1,21.17113,79.06638
Mid-Segment,Koradi Road,"₹3,700/ sq.ft",3700.0,2500.0,,4.2,21.20253,79.07763
Mid-Segment,Hudkeshwar Road,"₹3,550/ sq.ft",3550.0,2050.0,,4.2,21.09716,79.12249
Mid-Segment,Friends Colony,"₹4,650/ sq.ft",4650.0,,,4.1,21.173844,79.042896
Mid-Segment,Manish Nagar,"₹4,500/ sq.ft",4500.0,6000.0,,4.4,21.09115,79.07839
Mid-Segment,Amravati Road,"₹4,000/ sq.ft",4000.0,2500.0,,4.3,21.14807,79.05011
Mid-Segment,Shambhu Nagar,"₹3,550/ sq.ft",3550.0,3450.0,,4.0,21.201137,79.083954
Mid-Segment,Kamptee Road,"₹3,500/ sq.ft",3500.0,2450.0,,4.1,21.199328973168218,79.13827839260192
Mid-Segment,Hingna Road,"₹2,800/ sq.ft",2800.0,2100.0,,4.1,21.12288,79.03707
Mid-Segment,Wanadongri,"₹2,800/ sq.ft",2800.0,2200.0,,3.6,21.091855556745262,78.97645039096479
Mid-Segment,Jaitala Road ,"₹4,450/ sq.ft",4450.0,,,3.8,21.12008,79.03936
Mid-Segment,Bhilgaon,"₹3,050/ sq.ft",3050.0,3000.0,,3.7,21.18705,79.14639
Mid-Segment,Shankarpur,"₹3,450/ sq.ft",,3450.0,,,21.055081,79.076956
Mid-Segment,Pipla,"₹3,500/ sq.ft",4000.0,3500.0,,,21.0802,79.12028
Mid-Segment,KT Nagar,"₹4,700/ sq.ft",4700.0,,,4.1,21.175479,79.046488
Mid-Segment,Hazari Pahad ,"₹3,600/ sq.ft",3600.0,,,,21.168162271132697,79.03559105688748
Premium,Dharampeth,"₹9,800/ sq.ft",9800.0,,,4.4,21.139,79.06309
Premium,Omkar Nagar ,"₹4,850/ sq.ft",4850.0,,,4.2,21.097944153874785,79.09329440646331
Premium,Khamla,"₹7,050/ sq.ft",7050.0,,,4.0,21.1094,79.06027
Premium,Swawlambi Nagar ,"₹6,200/ sq.ft",6200.0,6400.0,,3.8,21.10605,79.04261
Premium,Ganeshpeth Colony,"₹7,600/ sq.ft",7600.0,,,4.0,21.141429,79.096828
Premium,Pratap Nagar,"₹6,700/ sq.ft",6700.0,14050.0,,4.3,21.11611,79.05038
Premium,Trimurti Nagar,"₹5,500/ sq.ft",5500.0,7400.0,,4.2,21.11124,79.04332
Premium,Laxminagar,"₹8,700/ sq.ft",8700.0,,,4.2,21.12342,79.06092
Premium,Jaiprakash Nagar,"₹6,350/ sq.ft",6350.0,,,3.9,21.102078,79.065163
Premium,Narendra Nagar,"₹5,150/ sq.ft",5150.0,10300.0,,4.1,21.10462,79.07722
Premium,Abhyankar Nagar,"₹8,550/ sq.ft",8550.0,,,4.0,21.126138,79.056756
Premium,Shivaji Nagar,"₹10,000/ sq.ft",10000.0,,,,21.13638,79.05674
Premium,Ramdas Peth,"₹9,150/ sq.ft",9150.0,,,4.3,21.13679,79.07439
Premium,Chatrapati Nagar,"₹6,750/ sq.ft",6750.0,,,,21.108083,79.072377
Premium,Ram Nagar,"₹8,000/ sq.ft",8000.0,9800.0,,4.2,21.14415,79.05179
